순위,제목,저자,출판사,요약
20,도메인 주도 설계란 무엇인가,에이벨 아브람,인사이트,"도메인 주도 설계에 대해 배우고자 하는 사람들을 위한 『도메인 주도 설계란 무엇인가?』. 〈Domain-Driven Design〉 <도메인 주도 설계>, 위키북스, 2011년 를 간결하게 정리했다. 도메인 주도 설계 DDD,"
21,최신 네트워크 용어 해설 그림 한 장으로 보는  개정판 4판 ,Kitami Ryuji,정보문화사,초보 IT 입문자들이 네트워크 용어를 어렵게 느끼는 가장 큰 요인은 전문 용어들로만 되어 있다는 점도 그렇지만 약자를 사용하는 일이 많기 때문이다. 그중에서도 특히 네트워크 용어는 약자로 되어 있는 부분이
22,GIS 프로그래밍,김의명,시그마프레스,"남서울대학교 GIS공학과 교수 김의명의 『GIS 프로그래밍』. 전세계적으로 많이 알려진 ESRI의 ArsGIS Engine ArcObjects + Controls  컴포넌트뿐 아니라, Microsoft에서 개발한 C# 프로그래밍언어를 바탕으로 GIS"
23,와이어샤크 네트워크 완전 분석 개정판  에이콘 네트워크 프로그래밍 시리즈 ,로라 채플,에이콘출판,"IT 전문가들이 트러블슈팅, 보안과 네트워크 최적화를 위해 사용하는 필수 도구인 와이어샤크를 설명한 지침서 [와이어샤크 네트워크 완전 분석],  이 책의 저자인 로라 채플 Laura Chappell 은 HTCIA와 IEEE의"
24,도메인 주도 설계 구현 Implementing Domain-Driven Design  에이콘 소프트웨어 아키텍처 시리즈 ,반 버논,에이콘출판,"[도메인 주도 설계 구현]은 도메인 주도 설계를 통해 엔터프라이즈 애플리케이션을 구축하는 방법을 풍부한 구현 예제를 통해 구체적으로 설명한다. 스프링, REST, NoSQL 등을 활용해 도메인 모델을 중심으로"
25,인프라 엔지니어의 교과서: 네트워크 관리편,기술평론사 편집부,길벗,"네트워크나 서버를 모르면 클라우드를 제대로 활용할 수 없다. LAN 케이블부터 시작해서 라우터, 스위치 허브, DHCP, 무선 LAN 환경 구축 같은 네트워크 기초부터 네트워크 트래픽이 증가할 때 필요한 네트워크"
26,오픈스택을 다루는 기술 개정판 ,장현정,길벗,"『오픈스택을 다루는 기술』은 클라우드와 오픈스택의 개념과 구조를 익힌 후, 다양한 상황에 맞춰 클라우드 서비스를 구축하는 방법을 설명한다. 우분투와 CentOS에서 데브스택 DevStack 과"
27,시스코 스위칭 완전 분석 GNS3 시뮬레이터를 활용한  에이콘 네트워크  프로그래밍 시리즈 ,정철윤,에이콘출판,스위칭 기술의 이론적인 지식 함양과 동시에 실습을 통한 실무 능력을 향상시키기 위한 시스코 스위칭 기술 지침서다. 『시스코 라우팅 완전 분석』과 함께 시스코 장비의 라우팅/스위칭 능력을 동시에
28,네트워크 이해 및 설계 가이드,미야타 히로시,제이펍,"『네트워크 이해 및 설계 가이드』는 VLAN 설계, 어드레스 주소  설계, 중복, 가상화 등 네트워크 구축에 필요한 기초 기술과 설계의 핵심 포인트를 실제 구성 예를 바탕으로 한 400컷 이상의 그림을 이용하여"
29,지리공간정보 자료 분석 R프로그램에 기반한 ,이재길,황소걸음 아카데미,"『R프로그램에 기반한 지리공간정보 자료 분석』은, 최근 널리 활용되는 GIS 자료를 이용한 분석기법으로 구성하였다. 특히, GIS의 Shape 파일 이외 Google Map 등을 활용하는 기법을 살펴보았다. 그리고 R"
30,HTTP & Network Basic 그림으로 배우는 ,우에노 센,영진닷컴,"[그림으로 배우는 HTTP & Network Basic]은 웹의 근간을 이루는 HTTP를 중심으로 하여 웹, 인터넷 데이터 통신 분야의 기초가 되는 내용들을 다루고 있다. 초반부에는 인터넷의 역사부터 시작해 인터넷을 하면서"
31,하루 3분 네트워크 교실,아미노 에이지,영진닷컴,"『하루 3분 네트워크 교실』는 네트워크란 무엇인지부터 시작하여 네트워크의 구조와 역할에 대해 알려줍니다. 네트워크 OSI 참조 모델을 중심으로 각 계층을 살펴보고, 데이터가 어떻게 통신하고 그것을 위한"
32,이중호의 TCP/IP 실무특강,이중호,성안당,"네트워크 분야에 특화된 전문가로서 다년간의 강의 경력을 자랑하는 이중호 저자가 TCP/IP만을 주제로 105시간 구성의 강의 교재를 선보였다. 

TCP와 IP는 현재 수많은 프로그램들이 인터넷으로 통신하는데"
33,TCP IP 인터넷  생동하는  : 활용에서 보안 IPv6까지,오창석,내하출판사,"인터넷활용, 네트워크장비, 정보 압축과 파일 전송 기술, TCP/IP 프로토콜, 인터넷 보안, 차세데 인터넷에 이르기까지 광범위한 내용을 학부 수준에 적합하도록 이론적인 면은 지양하고 개념위주로 간결하게"
34,네트워크 운용,남기진,내하출판사,"[네트워크 운용]은 네트워크 구축, 운용, 유지보수, 네트워크 보안 등 NCS 직무에 부응하는 네트워크 장비 운용 스위치 및 라우터  고장 수리, 유지 보수, 관리, 접속 제어, 영문 e-mail 해석 및 작성, 회사 기술"
35,네트워크 분석방법의 활용과 한계,이수상,청람,▶ 네트워크 분석방법에 관한 내용을 담은 전문서적입니다.
36,네트워크 트러블슈팅 가이드,장혁,에이콘출판,"엔지니어가 반드시 알아야 할 프로토콜 계층별 네트워크 장애처리 가이드 『네트워크 트러블슈팅 가이드』. 물리 계층, 트랜스포트 계층, 그리고 그 이상에 이르기까지 이더넷 기반으로 IP와 TCP 프로토콜의"
37,엔진엑스로 운용하는 효율적인 웹사이트 acorn+PACKT ,디판카 사카,에이콘출판,아파치를 대체하고 있는 강력한 웹서버 엔진엑스 Nginx 의 실제 활용 사례가 수록된 예제 모음집 『엔진엑스로 운용하는 효율적인 웹사이트』. 웹사이트 관리자나 개발자들이 흔히 겪는 대표적인 105가지 상황에
38,시스코 라우팅 완전 분석 에이콘 네트워크 프로그래밍 시리즈 13 ,정철윤,에이콘출판,"『시스코 라우팅 완전 분석』은 초ㆍ중급자를 위한 IP 라우팅의 동작부터 IP주소와 각종 마스크에 대해 이해할 수 있도록 구성한 책이다. RIP과 EIGRP, OSPF, BGP를 이해함으로써 시스코 라우터 설정뿐만 아니라"
39,VMware vSphere 6 서버 가상화 구축과 운용 에이콘 클라우드 컴퓨팅 시리즈 ,닉 마샬,에이콘출판,VMware vSphere 6 가상화 솔루션에 대한 최신 가이드가 수록되어 있는 개정판이다. 업무 현장에서 사용하는 여러 도구를 이해하기 쉽게 설명하며 많은 정보와 다양한 참고 사항들이 포함되어 있다. VMware
40,실전 네트워크와 네트워크 보안 실무,현정훈,에이콘출판,"『실전 네트워크와 네트워크 보안 실무』는 네트워크의 개념부터 쉽게 습득할 수 있게 구성돼 있으며, 네트워크의 기본인 라우팅, 스위칭의 원리부터 실무 적용까지 독자가 직접 실습할 수 있도록 사례를 통해"
41,스마트 네트워크 시스템,남상엽,상학당,▶ 이 책은 스마트 네트워크 시스템에 대해 다룬 이론서입니다. 스마트 네트워크 시스템의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
42,인프라 엔지니어의 교과서,사노 유타카,길벗,"LINE사의 창업 멤버이자 인프라 엔지니어인 사노 유타카가 신입사원들이 인프라에 대해 쉽게 이해할 수 있도록 정리한 책이다. 서버, OS, 네트워크, 스토리지, 가상화, 구매와 상담, 데이터 센터, 운영, MSP 업자"
43,손으로 익히며 배우는 네트워크 첫걸음,Gene,한빛미디어,"‘네트워크’는 더 이상 엔지니어/이공계생만의 용어가 아니다. 출퇴근길 스마트폰을 즐겨보고, 일상적으로 메일을 주고 받는 우리 생활 곳곳에 네트워크가 이미 보편화되어 있다. 이 책은 문과생, 비 非 개발자도"
44,GIS 개론 GIS 시리즈 1  양장본 HardCover ,김계현,문운당,"GIS의 자료 생성과 분석에 대한 이해를 돕는 『GIS 개론』. 이 책은 GIS 개념의 소개와 활용현황, 자료 생성의 방법과 관련 특성, GIS에서 기본적으로 다루어지는 자료 구조의 본질에 관한 논의, 관계형 기반의"
45,네트워크 개론 3판  IT CookBook 257 ,진혜진,한빛아카데미,"기본 이론부터 패킷 분석까지 쉽게 배우는 네트워크
네트워크를 공부할 때 가장 중요한 점은 새로운 기술의 습득이 아니라 네트워크의 기본을 이해하는 것입니다. 기본이 되는 네트워크 이론을 충분히 이해하지"
46,와이어샤크 개론 2/e 네트워크 프로그래밍 시리즈 ,로라 채플,에이콘출판,"IT 전문가들이 문제점 해결, 보안 및 네트워크 최적화를 위해 사용하는 필수 도구인 와이어샤크 2.0를 설명한 책이다. 인터넷에서 이용하는 이메일, 메신저 등이 실제로 인터넷에서 어떤 형태로 전달되는지"
47,트러블슈팅 도커 오픈소스 프로그래밍 ,바이브하브 콜리,에이콘출판,"도커의 설치와 기본 관리 기능부터, 네트워킹, 쿠버네티스, 공용 클라우드에서 활용하는 방법에 이르기까지, 전반적인 도커 활용법과 이 과정에서 발생할 수 있는 다양한 문제를 해결하는 기법을 설명한다. 또한"
48,OAuth 2.0 쿡북 해킹과 보안 ,아돌포 엘로이 나시멘토,에이콘출판,"Spring Security를 이용해 실질적으로 OAuth 2.0 애플리케이션을 구현하는 데 초점 맞추고 있다. 기본적인 형태의 OAuth 2.0 애플리케이션 구현뿐만 아니라 동적 클라이언트 등록, 토큰 인트로스펙션, PKCE, JWT"
49,리얼월드 HTTP,시부카와 요시키,한빛미디어,"웹 세상을 지탱하는 HTTP 기술의 변천사와 버전별 문법 및 의미론을 살펴보는 책입니다. HTTP 1.0, 1.1을 거쳐 2.0까지 브라우저 내부에서 일어나는 일과 서버와의 상호작용 등을 삽화와 예시로 소개합니다. curl,"
50,GIS 이론 및 실습 2판 ,한승희,구미서관,▶ 이 책은 지리정보를 다룬 이론서입니다. 지리정보의 기초적이고 전반적인 내용을 학습할 수 있습니다.
51,컴퓨터 네트워킹 : 하향식 접근 7판 ,James F. Kurose,퍼스트북,▶ 이 책은 컴퓨터 네트워킹을 다룬 이론서입니다. 컴퓨터 네트워킹의 기초적이고 전반적인 내용을 학습할 수 있습니다.
52,인프라 네트워크 엔지니어를 위한 네트워크 디자인 패턴 가이드,미야타 히로시,제이펍,네트워크에는 무수히 많은 장애물을 헤쳐 나가면서 발전해 온 기술과 장비가 있다. 그리고 그것들을 조합한 고가용성 HA  구성 패턴인 ‘네트워크 디자인 패턴’이 존재한다. 이 책을 통해 네트워크 디자인 패턴을
53,와이어샤크를 이용한 패킷 캡처 철저 입문,다케시타 메구미,길벗,"『와이어샤크를 이용한 패킷 캡처 철저 입문』은 와이어샤크를 처음 사용하는 개발자를 위해 설치와 기본 사용법부터 덤프 분석, 트렌드 분석, 트러블슈팅, 캡처 파일 출력, 이미지 데이터 추출 / 재현과 같은"
54,컴퓨터 네트워크 5판 ,Andrew S. Tanenbaum,YOUNG,▶ 이 책은 컴퓨터 네트워크에 대해 다룬 도서입니다. 컴퓨터 네트워크의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
