순위,제목,저자,출판사,요약
16,실습과 그림으로 배우는 리눅스 구조,다케우치 사토루,한빛미디어,"스마트폰에서 클라우드까지, IT 산업 곳곳에서 리눅스가 보입니다. 이렇게 산업과 생활 전반에 걸쳐 사용하는 OS는 어떻게 움직일까요?
이 책은 컴퓨터 시스템을 구성하는 운영체제를, 그중 가장 많이 사용하는"
17,만화로 배우는 리눅스 시스템 관리. 1: 명령어 & 셸 스크립트 입문,Piro,길벗,『만화로 배우는 리눅스 시스템 관리』 제1권 《명령어 & 셸 스크립트 입문》은 시스템 관리 부서 신입 사원 리나 민트가 선배 사원 오노 오코의 지도를 받아 서서히 성장하는 만화로 구성한 책이다. 신입 사원
18,코드로 알아보는 ARM 리눅스 커널 2판 ,윤석훈,제이펍,"현업에서 커널 업무를 하고 있거나, 취미로 커널 분석을 시작했지만 방대한 양과 난해한 코드 때문에 어려움을 겪고 있는가? 시간이 부족하여 어디서부터 시작해야 할지 갈피조차 잡지 못하고 있는가? 오래전에"
19,CentOS 리눅스 구축관리실무 개정판 ,정우영,수퍼유저코리아,"[CentOS 리눅스 구축관리실무]는 CentOS의 장점을 최대한 활용하여 CentOS 기준으로 리눅스의 여러 서비스 WEB서버, DB서버, 메일서버, 파일서버등 를 구축하고 관리하는 실무중심의 책이다. 책은 리눅스 서버를"
20,임베디드 C코드생성 : Simulink 활용 2판 ,윤상호,아진,▶ 이 책은 임베디드 C코드생성 : Simulink 활용에 대해 다룬 교재입니다.
21,리눅스 커널 심층분석 개정판 3판  에이콘 임베디드 시스템프로그래밍 시리즈 33 ,로버트 러브,에이콘출판,"《에이콘 임베디드 시스템프로그래밍》제39권『리눅스 커널 심층분석』. 이 책은 리눅스 커널의 핵심을 간결하면서도 심도있게 다루고 있다. 일반적인 운영체제에 대한 이해를 넘어, 여타 유닉스 시스템과 다른"
22,리눅스 커널 이야기 DevOps와 SE를 위한  프로그래밍인사이트 ,강진우,인사이트,커널은 오랜 세월 기능이 추가되고 개선되어 오면서 완벽하게 이해하기 힘들 정도로 방대해졌다. 하지만 변하지 않는 기본 기능들이 있다. 이런 근간이 되는 기능에 대한 이해를 바탕으로 시스템의 문제를
23,리눅스 커맨드라인 완벽 입문서,윌리엄 E. 샤츠 주니어,비제이퍼블릭,"『리눅스 커맨드라인 완벽 입문서』는 초보 리눅스 사용자들을 위한 책이다. 파일, 디렉토리, 심볼릭 링크들을 생성하고 삭제할 수 있는 방법을 배울 수 있다. 또한 네트워킹, 패키지 설치, 프로세스 관리 등을"
24,리눅스 쉘 스크립트 프로그래밍 입문 김태용의 ,김태용,제이펍,『김태용의 리눅스 쉘 스크립트 프로그래밍 입문』은 김태용이 저술한 것이다. 서버뿐만 아니라 최근 이슈가 되고 있는 임베디드 시스템에서도 주로 사용되는 리눅스 OS에서 꼭 알아야 할 '쉘 Shell 
25,리눅스의 정석 취준생과 현장엔지니어를 위한 ,배동규,다올미디어,"“Linux 기초부터 고급 관리까지 150여 개의 명령어를 자세한 설명과 함께 실습하였다”

이 책은 많은 취준생들과 현장 엔지니어들을 위한 책이다. 
특히 서버나 네트워크, 보안 분야로 진출하길 원하는 많은"
26,리눅스 시스템 프로그래밍. 2 2판 ,정재준,커널연구회,커널연구회는 리눅스 커널과 자료구조 알고리즘을 연구하고 리눅스 시스템 프로그래밍 및 디바이스드라이버 개발을 통하여 창의적인 프로젝트를 수행하여 IoT 관련 제품들을 만들어 일상 생활을 풍요롭고 편리하게
27,모던 리눅스 관리,데이비드 클린턴,길벗,"이 책은 최신 기술을 활용한 리눅스 관리 방법을 가상화, 연결, 암호화, 네트워킹, 이미지 관리, 시스템 모니터링의 6가지 주제로 나눠 설명한다. 가상 머신에 리눅스를 설치하고 서버를 구축하는 방법뿐만 아니라"
28,임베디드 시스템 아키텍처,다니엘 라카메라,에이콘출판,"임베디드 시스템의 하드웨어 아키텍처, 라이브러리, 개발 도구 및 사용 방법, 그리고 에너지 효율성에 중점을 둔 설계 기술을 설명하고 있다. 비교적 접근이 간단한 단일 시스템의 구축부터 쉽게 놓칠 수 있는"
29,모두를 위한 리눅스 프로그래밍,아오키 미네로,제이펍,"리눅스의 구조와 함께 배우는 gcc 프로그래밍의 왕도

리눅스에서 많이 사용하는 명령어들을 C 언어로 만들어보는 예제를 통해 리눅스와 C 언어를 동시에 익히며 쉽고 빠르게 진도를 낼 수 있다. 또한"
30,허교수의 ARM Mbed 프로그래밍 입문 제이펍의 로봇시리즈 14 ,허경용,제이펍,이 책에서는 Mbed를 이용하여 Cortex-M 마이크로컨트롤러를 위한 프로그램 작성 방법과 다양한 주변장치를 Mbed 환경에서 사용하는 방법을 보여준다. 따라서 Cortex-M 마이크로컨트롤러를 처음 사용하는
31,엔터프라이즈 어플리케이션 MVVM 패턴을 이용한 ,라파엘레 가로팔로,비제이퍼블릭,『엔터프라이즈 어플리케이션』은 고객관리 프로그램을 통하여 MVVM 패턴을 적용한 LOB 어플리케이션 구현의 과정을 보여주는 책이다. 프로그램의 구조를 설계하는 전체 과정을 다루며 올바른 MVVM 접근 방법을
32,리눅스마스터 2급 최적합 ,임호진,성안당,"이 책은 리눅스마스터 2급 자격 취득을 위한 탄탄한 기본 이론을 설명하고 출제가 예상되는 문제를 정리한 다음 꼼꼼하게 해설하였습니다.
ㆍ 리눅스마스터 시험 합격 - 기출문제 분석과 기출문제에 대한 상세한"
33,CORTEX-M3 STM32F10x 와 그 응용 레지스터 직접 접근 방식에 의한  CD1장포함 ,진달복,양서각,"레지스터 직접 접근 방식에 의한 『CORTEX-M3 STM32F10x 와 그 응용』. 레지스터 직접 접근 방식으로 프로그램을 작성했다. 기초에서부터 응용에 이르기까지 체계적으로 썼다. 이해하기 쉽게 쓰려고 했으며,"
34,리눅스시스템 프로그래밍 V1.0,홍지만,그린,▶ 이 책은 리눅스시스템을 다룬 이론서입니다.
35,윈도우10 기본&활용 스마트정보화 2 ,조준현,렉스미디어닷넷,"- 글씨와 그림을 크게 표시하여 누구나 부담 없이 볼 수 있습니다.
- 따라하기 방식으로 구성하여 누구나 쉽고 빠르게 학습 내용을 배우고 익힐 수 있습니다.
- 필요한 내용만 엄선하여 누구나 바로 활용할 수"
36,윈도우10&인터넷 스마트정보화 1 ,조준현,렉스미디어닷넷,"- 글씨와 그림을 크게 표시하여 누구나 부담 없이 볼 수 있습니다.
- 따라하기 방식으로 구성하여 누구나 쉽고 빠르게 학습 내용을 배우고 익힐 수 있습니다.
- 필요한 내용만 엄선하여 누구나 바로 활용할 수"
37,커맨드라인 활용 가이드 윈도우 시스템 관리자를 위한 ,파완 바드와지,에이콘출판,None
38,코드로 읽는 리눅스 디바이스 드라이버 임베디드 개발자를 위한  에이콘 임베디드 시스템 프로그래밍 29 ,스리크슈난 벤카테스와란,에이콘출판,"- 독자대상 : 새로운 디바이스를 사용하기 위해 커널을 개조하려는 중급 프로그래머
- 구성 : 개념 및 기능 설명 + 예제
- 특징
① 실용적이고 자세하며 리눅스 디바이스 드라이버 유형 대다수를 설명
②"
39,임베디드 소프트웨어의 모든 것 에이콘 임베디드 시스템 프로그래밍 시리즈 ,콜린 월즈,에이콘출판,『임베디드 소프트웨어의 모든 것』은 임베디드 소프트웨어에 관심이 있는 초보자들과 실무자들을 위해 임베디드 소프트웨어에 대해 소개한 책이다. 책에는 임베디드 소프트웨어 개발 시에 고려해야 할 다양한
40,아날로그 회로 설계 Analog Circuit Design 에이콘 임베디드 시스템 프로그래밍 시리즈 ,밥 돕킨,에이콘출판,"[아날로그 회로 설계 Analog Circuit Design]은 다양한 회로 설계에 대한 해법을 제시하고, 공통적인 회로 설계의 어려움을 중심으로 한 실제적이고도 우수한 설계 기법을 설명함으로써, 시스템 설계자들에게"
41,리눅스 네트워크의 이해 오픈소스 프로그래밍 ,크리스찬 벤베누띠,에이콘출판,"클라우드 시대가 다시 도래하면서 네트워크에 대한 관심이 재조명되고 있습니다. 이전 세대에서 오픈플로우 openflow 기반의 네트워크만을 SDN이라고 규정했지만, 현 시대에는 패킷 전송 자동화에 대한 전반적인"
42,임베디드 C를 위한 TDD,제임스 W. 그레닝,인사이트,"엄격한 한계와 물리적 제약 조건, 마이크로초, 킬로바이트 같은 진짜 ‘엔지니어’의 세계에 살고 있는 임베디드 개발자들은 TDD가 자바 Java 나 루비 Ruby  같은 객체 지향 언어를 사용하고, 자원이 풍족한"
43,리눅스 핵심 레퍼런스,대니얼 J. 바렛,인사이트,리눅스를 날마다 쓴다면 이 작은 책이 훌륭한 안내서가 될 것이다. 이 책은 간결한 참고서를 원하는 리눅스 초보자나 숙련자 모두가 유용하고 중요한 명령어를 잘 습득할 수 있도록 학습 과정이 잘 구성되어 있다.
44,임베디드 리눅스 시스템 ARM으로 배우는  개정판  IT Eepert ,안효복,한빛미디어,『임베디드 리눅스 시스템』은 현업에서 가장 대중적으로 사용되는 프로세스와 OS를 집중해부하고 테블릿을 만드는 방법을 다룬 책이다. 임베디드 하드웨어/소프트웨어 구성 요소와 설계 절차 및 방법을 다뤘다.
45,리눅스 시스템 프로그래밍 개정판 2판 ,로버트 러브,한빛미디어,"리눅스 시스템 프로그래밍에 대한 이해가 부족한 독자를 위해 리눅스 시스템 프로그래밍의 기초부터 고급 인터페이스와 최적화 기법까지 다루고 있다. 또한, 시스템 프로그래머뿐만 아니라 호기심 많은 해커와"
46,Mac OS X 바이블 맥 쓰는 사람들과 함께하는 ,고래돌이,한빛미디어,"맥 쓰는 사람들과 함께하는 『Mac OS X 바이블』. Mac 사용을 위한 기본 기능부터 Mac을 제대로 활용할 수 있는 고급 기능까지 단계별로 구성했다. Mac 사용자들이 자주 묻는 질문 200여 가지를 가려 뽑고, 그에"
47,이것이 리눅스다,우재남,한빛미디어,"『이것이 리눅스다』는 ‘초보자도 리눅스의 실무 기능을 막힘 없이 실습 가능하도록’ 17년간의 생생한 강의 경험을 담아낸 책이다. 특히 FTP 서버는 물론, NFS 서버, Samba 서버, DHCP 서버, 프록시 서버 등"
48,macOS 시에라 맥 쓰는 사람들과 함께하는 ,고래돌이,한빛미디어,"디자이너의 전유물로 여겨졌던 Mac이지만, 이제는 동네 카페만 가도 흔하게 볼 수 있는 것이 Mac이다. 하지만 Mac을 제대로 사용하고 있는 사람이 거의 없다. 『맥 쓰는 사람들과 함께하는 macOS 시에라』를"
49,임베디드 리눅스 프로그래밍 라즈베리파이 3를 활용한 ,이영일,광문각,"본 교재는 리눅스 OS를 갖춘  Raspberry Pi3를 사용하여, LCD, 마우스 및 다양한 하드웨어 장치 사용에 필요한 디바이스 드라이버를 만들고 이를 활용하는 응용 프로그램을 작성하는 방법을 익힐 수 있도록 하는"
50,윈도우즈 API 정복. 제1권 개정판 2판  CD1장포함 ,김상형,한빛미디어,"윈도우즈 API 입문서 개정판 제1권. 이 책은 API와 운영체제를 통해 알고리즘과 논리력을 키울 수 있도록 꾸며 놓았다. 윈도우 환경에서의 응용 프로그램을 작성하는 기본 문법을 다루고, API 프로그램을 통해"
51,윈도우즈 API 정복. 제2권 2판 ,김상형,한빛미디어,"윈도우즈 API 입문서 개정판 제2권. 이 책은 API와 운영체제를 통해 알고리즘과 논리력을 키울 수 있도록 꾸며 놓았다. 윈도우 환경에서의 응용 프로그램을 작성하는 기본 문법을 다루고, API 프로그램을 통해"
52,리눅스 커널 프로그래밍 IT EXPERT  CD1장포함 ,한동훈,한빛미디어,"리눅스 실무서. 이 책은 리눅스 커널 프로그래밍 환경 구축부터 커널 컴파일 개발법, 리눅스 시스템 호출과 모듈 프로그래밍 방법, 문자 디바이스 프로그래밍과 블록 디바이스 프로그래밍, 메모리 관리와 프로세스"
53,기초 Win 7 컴놀 ,김평석,아카데미소프트,"★ STEP 01 완성된 작품 미리보기
각 차시별로 배울 내용에 대한 간단한 기능 설명과 함께 완성된 이미지를 보여줍니다.

★ STEP 02 연습문제
앞에서 배운 내용을 다시 한 번 확인할 수 있도록 유사한 문제를"
54,리눅스 시스템 프로그래밍 프로그램 실행 원리 이해를 위한 ,임성락,21세기사,리눅스는 윈도우즈와 함께 가장 많이 사용되고 있는 운영체제 중의 하나이다. 특히 IoT 분야와 관련된 임베디드 시스템 개발에서 더욱 더 사용될 것으로 예상된다. 이 책은 리눅스 커널에서 제공하는 시스템
55,BEGINNING LINUX PROGRAMMING 4TH EDITION  한국어판  4판 ,닐 매튜,아이티씨,"이 책은 리눅스와 기타 UNIX류 운영체제용 프로그램을 개발하고자 하는 이들을 위한 입문서이다. 프로그램의 컴파일과 라이브러리 링크 같은 기본적인 사항들에서부터 MySQL을 이용한 자료 저장, 디버깅 같은"
56,도전 임베디드 OS 만들기,이만우,인사이트,None
57,개발자를 위한 파워셸,더글라스 핑크,비제이퍼블릭,"『개발자를 위한 파워셸』은 PowerShell을 이용하여 어떤 것이 가능한지를 상세하게 설명한다. 예를 들어 “이런 작업들을 좀 더 나은 방법으로, 빠르게 또는 간단하게 처리할 수 있나” 또는 “이런 작업들을"
58,리눅스 커널과 디바이스 드라이버 실습. 2 2판 ,정재준,커널연구회,『리눅스 커널과 디바이스 드라이버 실습』 제2권. 이 책은 저자가 커널연구회 www.kernel.bz 를 수년동안 운영하면서 리눅스 커널 소스를 분석한 내용 위주로 구성했다. 제1부에서는 리눅스 커널 소스를 이해하고
59,Device Tree 상세분석 in Linux Kernel 4.0,정재준,커널연구회,『Device Tree 상세분석 in Linux Kernel 4.0』는 커널연구회가 그동안 수년동안 최신의 리눅스 커널 소스를 분석하고 정리해온 노력들이 그대로 책속에 담겨져 있습니다.  또한 삼성 Exynos5420이 탑재된 Arndale
60,ARM Cortex M0 코어 이해 및 시스템 개발 가이드,Joseph Yiu,BUILD PRESS,『ARM Cortex Mo 코어 이해 및 시스템 개발 가이드』는 현재 마이크로콘트롤러 시장의 새로운 주류 프로세서로 자리잡아가고 있는 ARM사의 Cortex-M 프로세서 코어 패밀리의 entry level이라 할 수 있는
61,ARM Cortex-M3/M4 구조와 응용 STM32F 시리즈를 이용한  개정판 ,차동혁,홍릉과학출판사,▶ 이 책은 ARM Cortex-M3/M4 구조와 응용에 대해 다룬 도서입니다. ARM Cortex-M3/M4 구조와 응용의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
62,임베디드 시스템,손석원,홍릉과학출판사,▶ 이 책은 임베디드시스템을 다룬 이론서입니다. 임베디드시스템의 기초적이고 전반적인 내용을 학습할 수 있습니다.
63,윈도우 서버 2012 R2 IT CookBook 200 ,남훈식,한빛아카데미,"[윈도우 서버 2012 R2]를 기준으로 서버 설치, 액티브 디렉터리 세팅 및 운영, 데이터 관리 및 백업, 모니터링과 보안 설정, 역할 서버 설치 방법 등을 다루었다. 현업 시스템 관리자와 서버 강사가 공동으로"
64,우분투 리눅스 개정판  IT COOKBOOK 231 ,이종원,한빛아카데미,"탄탄한 기본 이론과 체계적인 실습으로 배우는 우분투 리눅스

1.리눅스에 대한 기본 지식을 쌓고자 하는 누구나 볼 수 있다. 
2.리눅스 입문에 꼭 필요한 기본 지식과 명령뿐만 아니라 리눅스 시스템 관리자를"
65,유닉스 이론과 실습 3판  IT CookBook 264 ,윤소정,한빛아카데미,유닉스나 리눅스에 대한 기본 지식을 배우고자 하는 컴퓨터 관련 학과의 학부생을 대상으로 합니다. 유닉스 입문에 꼭 필요한 기본 기능과 명령의 사용 방법을 예제와 함께 자세히 설명하기 때문에 유닉스 강의
66,리눅스 커널 네트워킹 위키북스 유닉스&리눅스 시리즈 2 ,라미 로젠,위키북스,"『리눅스 커널 네트워킹』은 최신의 리눅스 네트워킹 서브 시스템을 다루는 책이다. 리눅스 네트워킹 서브 시스템이 기초적이고, 안정적이지만 수많은 프로토콜과 기술이 녹아들어 있는 네트워킹 서브 시스템"
67,만화로 배우는 리눅스 시스템 관리. 2: 명령어 & 셸 스크립트 응용,Piro,길벗,『만화로 배우는 리눅스 시스템 관리』 제2권 《명령어 & 셸 스크립트 응용》은 시스템 관리 부서 신입 사원 리나 민트가 선배 사원 오노 사쿠라코의 지도를 받아 서서히 성장하는 만화다. 신입 사원 리나 민트는
68,Windows Server 2016 쿡북 acorn+PACKT 시리즈 ,조던 크라우스,에이콘출판,Windows Server 2016을 처음 다루는 입문자부터 Windows 서버 관리 업무 경험자인 현업 관리자까지 두고두고 참고하며 활용할 수 있는 105개의 Windows Server 2016 핵심 레시피로 구성했다. 이전 버전의 Windows
69,우분투 리눅스 기반의 IDS/IPS 설치와 운영,오동진,에이콘출판,사이버 보안인들에게 익숙한 우분투 운영체제에 기반해 IDS/IPS 장비의 기반을 이루는 스노트와 IPTables 전반을 설명한다.
70,GNU/Linux 쾌속 임베디드 프로그래밍,로돌포 지오메티,에이콘출판,"임베디드 컴퓨터는 최근 몇 년간 매우 복잡해져, 개발자는 좋은 주변 장치를 찾거나 주변 장치를 관리하는 데 시간을 소비하지 않고 문제 해결법에만 집중해야 빠른 개발이 가능하다. 이 책은 업계에서 많이"
71,Yocto 프로젝트를 활용한 임베디드 리눅스 개발 2판 ,오타비우 살바도르,에이콘출판,Yocto 프로젝트나 오픈임베디드로 임베디드 리눅스 개발을 처음 시작하는 개발자를 위한 기본서다. Yocto 프로젝트에 대한 기본 개념부터 시작해 실제 디바이스에 적용하는 방법까지 예제와 유용한 팁을 제시하며
72,macOS 하이시에라 맥 쓰는 사람들과 함께하는 ,고래돌이 김상우 ,한빛미디어,"High Sierra 맞춤 Mac 사용자 필독서 [macOS 하이시에라]. 디자이너의 전유물로 여겨졌던 Mac이지만, 이제는 동네 카페만 가도 흔하게 볼 수 있는 것이 Mac이다. 하지만 Mac을 제대로 사용하고 있는 사람이 거의"
73,이것이 Fedora 리눅스다,우재남,한빛미디어,"85가지 실습을 ‘따라하며’ 네트워크 서버 구축의 ‘감 感 을 잡아가는’ fedora 실무 입문서! Fedora 28 반영  
리눅스에 첫 발을 내딛는 입문자라면, 여러 배포판 중 어떤 것을 선택해 시작할지가 가장"
74,된다! 맥북&아이맥,김기백,이지스퍼블리싱,"맥을 제대로 사용하는 방법. 필요한 것을 빠르게 배운다!
55만 팔로워 ‘맥가이버’ 운영진이 엄선한 맥 입문 핫 코스!

2015년 첫 출간 이후 줄곧 ‘분야 1위’를 차지한 <된다! 맥북&아이맥>이 최신 맥OS"
75,리눅스 관리 및 시스템 보안 리눅스 실무 마스터가 되기 위한 ,정성재,북스홀릭퍼블리싱,리눅스 실무 마스터가 되기 위한『리눅스 관리 및 시스템 보안』. 시스템 엔지니어로서 알아야 하는 관리 및 보안에 대한 기초적인 내용 위주로 구성되어 있다. 리눅스마스터 시험과 관계 없이 이 책을 읽는
76,임베디드 시스템 설계 아두이노를 활용한 ,류지열,부경대학교 출판부,▶ 임베디드 시스템 설계에 관한 내용을 담은 전문서적입니다.
77,리눅스 커맨드라인 쉘 스크립트 바이블 3판 ,리처드 블룸,스포트라잇북,『리눅스 커맨드라인 쉘 스크립트 바이블』은 시스템 통계 및 데이터 파일 모니터링에서부터 상사에게 제출할 보고서를 만드는 작업에 이르기까지 쉘 스크립트를 사용하여 관리 작업을 자동화하는 방법까지
78,컴퓨터와 인사하기 Window 10   컴선생 여우님 ,방과후교육연구회,해람북스 구 북스홀릭 ,"「컴선생 여우님」 시리즈는 컴퓨터에 대해 모르는 것이 없는 선생님이 똑 부러지게 컴퓨터를 가르친다는 콘셉트로 구성된 컴퓨터 특기적성 전문교재입니다.

지나친 따라하기를 배제하여 교재의 페이지를"
79,Cortex-M3 알기 쉽게 풀어 쓴 ,류대우,뉴티씨,"[알기 쉽게 풀어 쓴 Cortex-M3]는 ARM 프로세서, 개발 환경의 구성 요소 및 구축, 인터럽트 INTERRUPT , 디버깅 DEBUGGING , U S ART 통신 등에 대해 알아본다."
