순위,제목,저자,출판사,요약
11,오브젝트 IT Leaders 29 ,조영호,위키북스,객체지향으로 향하는 첫걸음은 클래스가 아니라 객체를 바라보는 것에서부터 시작한다. 객체지향으로 향하는 두번째 걸음은 객체를 독립적인 존재가 아니라 기능을 구현하기 위해 협력하는 공동체의 존재로
12,도커/쿠버네티스를 활용한 컨테이너 개발 실전 입문 위키북스 시스템 & 네트워크 시리즈 7 ,야마다 아키노리,위키북스,컨테이너 가상화 기술은 게스트 운영체제 없이 호스트 운영체제 위에 격리된 환경에서 가상화를 구현한다. 게스트 운영체제가 따로 존재하지 않으므로 호스트 운영체제의 요소를 공유하며 그만큼 중복되는 요소가
13,파이썬으로 다시 배우는 핵심 고등 수학 핵고수 ,타니지리 카오리,위키북스,"수학을 알면 프로그램을 만드는 데에 도움이 된다는 사실은 알고 있지만, 고등학교 때 일찌감치 수포자의 길을 걷기 시작했기 때문에 수학 지식 없이 프로그램을 만들어 보려는 사람이 많습니다.

데이터"
14,혼자 공부하는 자바,신용권,한빛미디어,"혼자 해도 충분하다! 1:1 과외하듯 배우는 자바 프로그래밍 자습서  JAVA 8 &11 지원  
이 책은 독학으로 자바를 배우는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’"
15,스위프트 프로그래밍: Swift 5 3판 ,야곰,한빛미디어,스위프트 5의 핵심 키워드는 ‘안정화’다. ABI 안정화 덕분에 버전과 환경에 크게 영향받지 않고 더 유연하게 스위프트를 사용할 수 있게 되었다. 최신 패러다임과 다양한 언어의 기능을 흡수하여 언어 전반에
16,윤성우의 열혈 C++ 프로그래밍 개정판 2판 ,윤성우,오렌지미디어,"『C++ 프로그래밍』은 C언어를 이해하고 있다는 가정하에서 집필된 C++ 기본서로서, 초보자에게 적절한 설명과 예제를 통해서 C++ 프로그래밍에 대해 설명한다. 더불어 실력향상을 돕는 연습문제와 OOP 단계별"
17,IoT 사물인터넷을 위한 라즈베리파이 4 정석,최주호,앤써북,『IoT 사물인터넷을 위한 라즈베리파이 4 정석』은 왕초보도 라즈베리파이를 이용해 다양한 IoT를 직접 개발할 수 있도록 전기전자 기초 원리부터 센서제어 및 나만의 가상비서 만들기 등 초수/중수/고수 예제
18,파이썬 자료구조와 알고리즘,미아 스타인,한빛미디어,"기초 튼튼, 핵심 쏙쏙, 실력 쑥쑥 
파이써닉한 코딩으로 배우는 핵심 알고리즘 
이 책은 파이썬을 십분 활용해 필수적인 자료구조와 알고리즘을 두루 살펴본다. 스택, 큐, 연결 리스트 등 추상 데이터 타입과"
19,Do it! 코틀린 프로그래밍,황영덕,이지스퍼블리싱,"안드로이드 분야에서 10년 넘게 개발한 저자가 산전수전 다 겪으며 알게 된 내용을 혼자만 알기가 아까워 책까지 썼다. 전반부에는 변수, 제어문, 함수형 프로그래밍, 객체 지향 프로그래밍, 코틀린 라이브러리 등"
20,모두의 파이썬 개정판 2판 ,이승찬,길벗,"파이썬 분야 & 어린이 코딩 교육 분야
2년 연속 베스트셀러! 개정판 출간!

즐겁게 시작하는 나의 첫 프로그래밍!
프로그래밍을 한 번도 해본 적이 없어도 괜찮다. 파이썬이 무엇인지 몰라도 상관 없다."
21,프로그래머를 위한 확률과 통계,히라오카 카즈유키,길벗,"확률과 통계를 공부한다고 하면 보통 산술적으로 어떻게 계산하는지, 활용 분야에 어떻게 사용하는지를 배웁니다. 이러한 학습 방법이 오히려 더 어렵지 않았나요? 기초 없이 응용에 도전하는 것은 겉모습만"
22,고전 컴퓨터 알고리즘 인 파이썬,데이비드 코펙,한빛미디어,"실무에서의 문제 해결 능력을 키우는 고전 알고리즘 프로젝트
이 책은 실무에서 만날 수 있는 문제를 알고리즘을 사용해 효과적으로 해결하는 방법을 알려
준다. 모든 예제를 파이썬으로 구현했으며, 장마다"
23,파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트,"“개발자에게 딱 필요한 만큼의 이론과 활용 가능한
프로젝트로 배우는 OpenCV 프로그래밍”
OpenCV는 영상 처리와 컴퓨터 비전 분야에서 현존하는 가장 영향력 있는 라이브러리이다.
이 책은 누구나 쉽게"
24,완벽한 IT 인프라 구축을 위한 Docker 2판 ,Asa Shiho,정보문화사,이 책은 컨테이너 기술을 사용한 애플리케이션 실행 환경 플랫폼인 ‘Docker’를 사용하여 인프라를 구축하기 위한 입문서입니다. 특히 온프레미스 서버 물리 환경 에 대한 구축 경험이 적은 애플리케이션
25,코딩 인터뷰 완전 분석 프로그래밍인사이트 ,게일 라크만 맥도웰,인사이트,이 책의 저자는 구인 담당자가 아니라 소프트웨어 엔지니어다. 지원자로서도 면접관으로서도 코딩 면접을 겪어 본 적이 있기 때문에 지원자가 면접을 앞두고 무엇을 준비해야 하는지 잘 알고 있다. 수백 명의
26,C#과 파이썬을 활용한 OpenCV 4 프로그래밍 위키북스 데이터 사이언스 시리즈 39 ,윤대희,위키북스,이 책은 컴퓨터 비전 기초 이론을 비롯해 OpenCV에서 가장 많이 활용되는 기능들을 설명하고 이미지 데이터에서 유의미한 정보를 찾는 방식을 다룹니다. 또한 C#과 파이썬이라는 두 가지 프로그래밍 언어로 구성돼
27,Do it! C언어 입문,김성엽,이지스퍼블리싱,결과만 알고 쓰는 사람은 원리를 알고 쓰는 사람을 절대 따라잡을 수 없다. C 언어를 처음 시작하는 출발선은 같지만 C 언어 문법 하나하나가 왜 만들어졌는지 원리를 이해하고 코딩하면 다르다. 프로그래머 취업
28,Do it! Node.js 프로그래밍 전면개정판 ,정재곤,이지스퍼블리싱,[Node.js 프로그래밍]은 누구나 쉽게 접근할 수 있는 자바스크립트 언어로 웹 서버를 만들며 서버 개발에 입문할 수 있도록 구성한 책이다. 책에서 다루는 코드는 Node.js의 최신 Current 버전을 사용하여 새롭게
29,이것이 C#이다,박상현,한빛미디어,"한 번 배울 때 제대로, 기본기부터 탄탄히 다지고 간다! 
이 책은 C# .NET 프레임워크 세계에 첫 발을 들이는 입문자를 위한 책이다. 따라서 딱딱하지 않은 대화식 표현으로 1:1 강의처럼 배울 수 있는 것이 이"
30,파이썬 코딩 도장,남재윤,길벗,"외우기만 해서는 파이썬도 어렵다!
프로그래밍은 연습으로 배우는 것!
문법을 외우기만 해서는 파이썬도 배우기 어렵다. 프로그래밍은 개념을 습득하고, 개념을 이해한 다음에 자신만의 프로그램을 만들면서"
31,Effective C# 이펙티브  3판 ,빌 와그너,한빛미디어,C#은 전통적인 .NET 기반 개발에서 유니티 게임 엔진으로 개발 영역을 확대하면서 더욱 주목받고 있다. 또한 자마린으로 다양한 모바일 플랫폼에 대응할 수 있어 수요가 계속 늘고 있다. 이에 이 책은 소프트웨어
32,Hello Coding 한입에 쏙 파이썬,김왼손,한빛미디어,"<프로그래밍이 두려운 모든 이를 위한 안내서>
프로그래밍이 처음인가요? 혹은 프.포.자 프로그래밍을 포기한 사람 인가요? 여기 100만이 이미 검증한 파이썬 입문서가 있습니다. 유튜브와 유데미를 통해 강의한"
33,파이썬으로 웹 크롤러 만들기 2판 ,라이언 미첼,한빛미디어,"웹에 존재한다면 그것이 어떤 형태이든 데이터로 추출할 수 있다. 필요한 무기는 이 책과 파이썬뿐. BeautifulSoup, 셀레니움, 테서랙트 등 강력한 파이썬 라이브러리 사용법과 함께 API, 인증, 이미지 및 텍스트"
34,파이썬 웹프로그래밍 실전편 ,김석훈,한빛미디어,"이 책이 제시하는 핵심 내용
장고 프레임워크를 사용해서 상용화 수준의 앱을 만들고, 앱의 기능을 확장하고, 클라우드 서버에서 배포하는 것까지 다룬다."
35,파이썬으로 데이터 주무르기,민형기,비제이퍼블릭,"이 책은 누구나 한 권 이상 가지고 있을 파이썬 기초 문법책과 같은 내용이 아닌, 데이터 분석이라는 특별한 분야에서 초보를 위해 처음부터 끝까지 파이썬으로 진행되는 과정을 다룹니다. 서울시 범죄 현황 분석,"
36,Do it! 자료구조와 함께 배우는 알고리즘 입문: C 언어 편,보요 시바타,이지스퍼블리싱,"국내 IT 기업의 면접, 코딩 시험에서 중요하게 생각하는 역량 가운데 하나는 자료구조와 알고리즘이다. 자료구조와 알고리즘은 머리로 개념만 이해한다고 바로 실전에 사용할 수는 없다. 하나씩 자신의 손으로"
37,자바 ORM 표준 JPA 프로그래밍 에이콘 오픈 소스 프로그래밍 시리즈 ,김영한,에이콘출판,"자바 ORM 표준 JPA는 SQL 작성 없이 객체를 데이터베이스에 직접 저장할 수 있게 도와주고, 객체와 관계형 데이터베이스의 차이도 중간에서 해결해준다. 이 책은 JPA 기초 이론과 핵심 원리, 그리고 실무에 필요한"
38,CODE Program Programming Programmer 6 ,찰스 펫졸드,인사이트,"[CODE]는 다른 사람들과 의사소통하기 위하여 언어를 조작하고 새로운 의미를 만들어내는 독창적인 방법들을 소개한다. 또한 다른 사람들과 의사소통을 하려는 인간의 강렬한 욕망이 어떻게, 지난 두 세기 동안"
39,이펙티브 자바 3/E,조슈아 블로크,인사이트,자바 6 출시 직후 출간된 『이펙티브 자바 2판』 이후로 자바는 커다란 변화를 겪었다. 그래서 졸트상에 빛나는 이 책도 자바 언어와 라이브러리의 최신 기능을 십분 활용하도록 내용 전반을 철저히 다시 썼다.
40,이것이 자바다,신용권,한빛미디어,『이것이 자바다』은 15년 이상 자바 언어를 교육해온 자바 전문강사의 노하우를 아낌 없이 담아낸 자바 입문서이다. 자바 입문자를 배려한 친절한 설명과 배려로 1장에 풀인원 설치 방법을 제공하여 쉽게
41,처음 시작하는 파이썬,빌 루바노빅,한빛미디어,개발자가 되고 싶은 이들과 파이썬을 처음 시작하는 사람들을 위한 파이썬 안내서 [처음 시작하는 파이썬]. 책은 프로그래밍 개념부터 적절한 튜토리얼을 거치고 충분한 예제를 제시하고 있어 파이썬을 체계적으로
42,두근두근 파이썬,천인국,생능출판사,"『두근두근 파이썬』은 프로그래밍을 처음 시작하는 학습자도 쉽게 따라올 수 있도록 변수, 조건문, 반복문, 함수 등의 기본적인 프로그래밍 개념을 자세히 설명하여 탄탄한 기초를 만들 수 있다. 또한, 적절한"
43,서비스 운영이 쉬워지는 AWS 인프라 구축 가이드 위키북스 클라우드 컴퓨팅 시리즈 4 ,김담형,위키북스,"AWS와 서비스 운영에 첫걸음을 내디딜 수 있게 도와준다!
서비스 개발과 인프라 관리를 담당하는 실무자의 운영 노하우를 배우자!

이 책은 AWS나 클라우드 환경에 익숙하지 않은 분들이 AWS 서비스를 잘"
44,프로그래머를 위한 베이지안 with 파이썬,캐머런 데이비슨 필론,길벗,"수학 없이 파이썬 코드로 이해한다. 수식을 설명하지 않는다. 컴퓨터를 이용한 이해가 최우선이다. 베이지안에서 사용하는 MCMC 모델, 손실함수, A/B 테스팅 등을 파이썬 코드로 구현해보면서 내용을 이해하고"
45,파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,"금융공학, 딱 필요한 만큼만 배우고 바로 활용하기

금융공학에서 프로그래밍은 본질이 아닌 도구다. 이 책은 금융권에서 가장 일반적으로 활용하는 주식, 선물, 옵션, 펀드 이론을 최대한 친절하게 설명하고,"
46,파이썬 웹 프로그래밍 개정판 ,김석훈,한빛미디어,"Django 웹 프로그래밍 대표 도서, 『파이썬 웹 프로그래밍』의 최신 개정판! 2015년 첫 출간 즉시, 장고 웹 프로그래밍 대표 도서로 자리매김한 『파이썬 웹 프로그래밍』, 기존 도서의 장점은 살리고, 파이썬 3.x"
47,한입에 웹 크롤링,김경록,비제이퍼블릭,"‘프’로그래밍 잘 ‘알’지 ‘못’해도
참 쉬운 파이썬 데이터 수집 자동화 

일을 자동화하는 것은 이제는 필수를 넘어 생존 조건입니다. 만약 대량의 정보를 웹에서 지속적으로 받고 필요한 정보를 골라서"
48,파이썬 프로그래밍으로 지루한 작업 자동화하기,알 스웨이가트,스포트라잇북,컴퓨터는 수많은 작업을 위해 구성할 수 있는 스위스 나이프와도 같다. 그러나 많은 사람들은 반복적인 작업을 단지 몇 초 만에 끝낼 수 있다는 사실을 모른 채 마우스와 키보드를 잡고 여러 시간을 보내고 있다.
49,전문가를 위한 C++ 4판 ,마크 그레고리,한빛미디어,"C++는 마스터하기 어렵기로 악명 높지만 풍부한 기능 덕분에 게임이나 상용 소프트웨어 애플리케이션을 개발하는 대표 언어로 자리매김했다. 숙련된 C++ 프로그래머조차 잘 모르는 고급 기능도 많이 있는데,"
50,바이오파이썬으로 만나는 생물정보학,한주현,비제이퍼블릭,쏟아지는 생물정보 빅데이터를 처리함에 있어 배우기 쉽고 원하는 결과를 신속하게 만들어 낼 수 있는 파이썬은 이 시대의 단연 인기 있는 언어다. 바이오파이썬은 파이썬 라이브러리 중 하나로 유전체 데이터
51,아마존 웹 서비스 AWS Discovery Book,권영환,정보문화사,이 책은 클라우드와 Amazon Web Services에 대한 정의와 개념을 이해하는 것부터 시작한다. 전반적으로 서비스가 어떻게 진행되는지 저자의 경험과 실질적으로 사용하는 기술에 대해 이해하고 나면 직접 만들어 볼
52,C++ 최적화,커트 건서로스,한빛미디어,빠른 코드를 작성하는 시간은 느린 코드를 작성하는 시간보다 결코 길지 않다. 이 책은 올바른 코드를 구현하면서도 빠른 C++ 프로그램을 만드는 최적화 방법을 소개한다. 습관적으로 쓰는 C++ 구문을 점검해보고
53,파이썬 한 권으로 끝내는 ,김명호,에듀웨이,전 세계적으로 유명한 구글 Google 이 자신의 많은 서비스를 파이썬으로 제공하고 있습니다. 이것은 구글의 뛰어난 서비스를 개인의 비즈니스에 쉽게 이용할 수 있다는 의미입니다.  이러한 발전에 맞춰 파이썬
54,Kubernetes 쿠버네티스  완벽한 IT 인프라 구축의 자동화를 위한 ,Asa Shiho,정보문화사,이 책은 쿠버네티스를 처음 사용하는 업무 애플리케이션 개발자 및 도커에 대한 기초 지식이 있는 분을 대상으로 컨테이너 오케스트레이션 툴인 <쿠버네티스의 구조>와 <기본적인 기능과 내부 동작>을 설명한
55,파이썬으로 배우는 알고리즘 트레이딩 개정판  프로그래밍 & 프랙티스 시리즈 18 ,조대표,위키북스,이 책은 파이썬이라는 프로그래밍 언어를 이용한 알고리즘 트레이딩을 다룹니다. 프로그래밍을 전혀 모르는 비전공자나 HTS Home Trading System 로 주식 투자 정도만 할 수 있는 일반인도 빠르게 파이썬과
56,파이썬을 활용한 부동산 데이터 분석 위키북스 데이터 사이언스 시리즈 35 ,박준규,위키북스,"국내 부동산 분석에 활용할 수 있는 데이터는 무수히 많습니다. 실거래가부터 시작해서 KB부동산에서 제공하는 매매가격, 전세가격 지수 데이터, 학군 데이터, 일자리, PIR 데이터 등 무수히 많습니다. 이런"
57,파이썬 데이터 분석 입문,클린턴 브라운리,한빛미디어,엑셀은 쉽고 직관적이지만 수백 개의 파일을 다루기는 무리다. 파이썬을 이용하면 엑셀의 한계를 넘어 다양한 형식의 데이터를 가공하고 수많은 파일을 분석할 수 있다. 이 책은 일반인을 위한 파이썬 기초부터
58,자바 최적화 Optimizing Java ,벤저민 J. 에번스,한빛미디어,성능 튜닝은 실험과학이다. 추측과 구전 튜닝에 의존할 일이 아니다. 이 책은 복잡한 기술 스택을 다루는 중/고급 자바 개발자에게 정량적이고 검증 가능한 접근 방식으로 자바 애플리케이션 성능을 튜닝하는
59,Do it! 자바 프로그래밍 입문,박은종,이지스퍼블리싱,"비전공자, 문과생도 무릎을 ‘탁!’ 치며 이해하는 20년 경력 명강사의 자바 강의! 프로그래머를 꿈꾸는 사람의 인생 과제인 자바를 135개 그림과 240개 예제로 더욱 쉽게 배웁니다. 프로그래밍 입문서 최강자 Do"
60,잡아라! 텍스트 마이닝 with 파이썬,서대호,비제이퍼블릭,알고리즘에 대한 수학적인 이해가 없어도 개념 파악을 도와주며 독자들이 코드를 따라하면서 결과를 바로바로 확인할 수 있도록 구성했다. 또한 텍스트 데이터 추출을 위해 필수적인 웹 크롤링 기술도 익힌다.
61,한권으로 개발자가 원하던 파이썬 심화 A to Z,문용준,잇플,로봇과 함께 살아가야 할 우리 아이들의 미래를 위해 지금 무엇을 배워야 할까요? 쉽기만한 교재보다는 기초를 탄탄히 다져 줄 수 있는 교재가 필요합니다. ‘개발자가 원하던 파이썬 심화’는 이런 부분을 잘
62,초보자를 위한 파이썬 Python  200제,장삼용,정보문화사,본서는 200개의 예제로 파이썬을 마스터할 수 있도록 구성되었다. 기초적인 개념에 대해 배우는 1파트 ‘Python 프로그래밍 첫발 내딛기’를 시작으로 5파트 ‘Python으로 간단한 프로그램 작성하기’까지 다양한
63,파이썬과 OpenCV를 이용한 컴퓨터 비전 학습,알렉세이 스피쉐보이,에이콘출판,"OpenCV 3는 컴퓨터 비전, 머신 러닝, 이미지 처리를 위한 기본적인 크로스 플랫폼 라이브러리다. 이 책에서 보여주는 다양한 방법으로 현재 막혀 있는 컴퓨터 비전 문제를 해결할 수 있을 것이며, 관련"
64,파이썬 코딩의 기술 Effective Python ,브렛 슬라킨,길벗,"이 책 [파이썬 코딩의 기술]은 ‘파이썬답게’ 프로그램을 작성하는 방법에 대한 통찰력을 제공한다. 책에는 다양한 팁과 기술을 현실성 있는 코드 예제와 함께 59가지 Better way에 수록했다. 또한, 코드를 좀 더"
65,게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,"파이썬은 머신러닝과 AI 등 최첨단의 분야에서 주목받고 있으며, 프로그래밍의 원리를 배우기 위한 기본 언어로도 적합합니다. 이 책에서는 간단한 게임을 직접 만들어 보면서 쉽고 재미있게 파이썬을 배웁니다."
66,초보자를 위한 Java 200제 2판 ,조효은,정보문화사,"이 책은 입문부터 실무까지 6개의 파트로 구성되어 있으며, 가장 많이 활용되는 Java 예제 200개를 엄선하여 수록하였습니다. 빌보드 차트 만들기, 카드 게임 만들기, 인사 관리 HRM 용 어플리케이션 만들기, 채팅"
67,The Go Programming Language 에이콘 프로그래밍 언어 시리즈 ,앨런 도노반,에이콘출판,"Go를 배우고자 하는 모든 개발자를 위한 『The Go Programming Language 한국어판』. 이 책은 구글 Go 개발팀의 일원인 앨런 도노반과 C언어의 대가인 브라이언 커니핸이 직접 쓴 책으로, Go의 언어적 특징과 표준"
68,비주얼베이직 2017 재미있게 배우는 ,강현석,경상대학교출판부,"『비주얼베이직 2017 기초에서 응용까지』는 ‘비주얼 베이직 2017’을 이용하여 기초적인 프로그램부터 고급 응용 프로그램을 개발해 볼 수 있도록 구성했다. 즉, 비주얼 베이직 2017 프로그래밍 개발 환경에서"
69,Effective Modern C++ 이펙티브 모던 C++ ,스콧 마이어스,인사이트,"[Effective Modern C++ 이펙티브 모던 C++ ]은 C++11과 C++14를 이용해서, 즉 현대적인 C++을 이용해서 진정으로 훌륭한 소프트웨어를 작성하는 방법을 설명한다. 책에서는 중괄호 초기치, noexcept 명세, 완벽"
70,프로 Git 2판  Programming Insight ,스캇 샤콘,인사이트,[프로 Git]는 Git의 기본적인 사용법부터 고급 기능까지를 전반적으로 살펴보고 언제 어떻게 사용해야 하는지 알려주는 책이다. 2판에서는 Git을 사용하는 오픈 소스 커뮤니티의 폭발적인 증가 양상에 맞춰 Git
71,"밑바닥부터 만드는 컴퓨팅 시스템 Program, Programming, Programmer 10 ",노암 니산,인사이트,▶ 이 책은 프로그래밍을 다룬 이론서입니다. 프로그래밍의 기초적이고 전반적인 내용을 학습할 수 있습니다.
72,윤성우의 열혈 파이썬 기초편,윤성우,오렌지미디어,"누구나 쉽게 공부할 수 있는 파이썬의 기초를 설명한다.
파이썬 3을 기본으로 코딩 경험이 없는 초보자에게 파이썬을 설명합니다.그러나 이 책의 내용만 다 공부하더라도 기본적인 파이썬 활용이 가능한 수준에"
73,윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,"? 윤성우의 열혈 파이썬 기초편 이후를 말합니다. 
이미 출간되어서 좋은 평가를 받고 있는 '열혈 파이썬 기초편'의 뒤를 잇는 내용의 서적입니다. 파이썬을 조금 더 알고 싶어하는 이들을 대상으로 내용이"
74,객체지향의 사실과 오해 위키북스 IT Leaders 23 ,조영호,위키북스,『객체지향의 사실과 오해』는 객체지향이란 무엇인가라는 원론적면서도 다소 위험한 질문에 답하기 위해 쓰여진 책이다. 안타깝게도 많은 사람들이 객체지향의 본질을 오해하고 있다. 가장 널리 퍼져있는 오해는
75,데이터 분석을 위한 파이썬 철저 입문 위키북스 데이터 사이언스 시리즈 33 ,최은석,위키북스,"파이썬 기초 문법부터, 데이터 분석을 위한 다양한 실무예제까지 설명합니다!

파이썬은 문법이 간결해서 프로그래밍을 처음 시작하는 초보자가 배우기 쉬운 언어입니다. 이 책은 다양한 예제를 바탕으로"
76,ASP.NET & Core를 다루는 기술,박용준,길벗,"Microsoft 웹 개발 기술의 집합체인 ASP.NET을 최신 버전 4.6으로 배운다. .NET 기술을 사용하는 오픈 소스이자 크로스플랫폼인 ASP.NET Core 1.0의 새로운 특징도 학습한다. 특히 ASP.NET Core MVC는 Web Pages,"
77,모두의 데이터 과학 with 파이썬,드미트리 지노비에프,길벗,"[모두의 데이터 과학 with 파이썬]은 초보자와 비전공자가 배울 수 있게 최대한 전문 용어와 복잡한 수학을 사용하지 않고 설명한다. 먼저 데이터 과학의 개념을 알아보고, 데이터 과학에서 주로 사용하는"
78,파이썬 GUI 프로그래밍 쿡북 2/e,부르크하르트 메이어,에이콘출판,파이썬 3를 사용해 GUI 프로그래밍 방법을 단계별로 설명하는 유용한 책이다. 앞의 레시피를 개선해 나가면서 다양한 분야의 새로운 개념을 이해시키는 방식은 해당 라이브러리가 왜 필요하고 어떻게 사용하는지
79,Go 마스터하기 프로그래밍 언어 ,미할리스 추칼로스,에이콘출판,"Go 언어의 개론서로 Go 언어의 역사부터 동시성, 시스템 및 네트워크 프로그래밍, 최신 클라우드 개발에 이르기까지 방대한 주제를 깊이 있게 다루고 있다.
이 책을 통해 Go 언어의 설계 철학과 코드 최적화에"
80,코틀린 리액티브 프로그래밍,리부 차크라보티,에이콘출판,"리액티브 프로그래밍 패러다임에 대해 알아보고 RxExtension, 그 중에서도 특히 RxKotlin을 사용해 기존 프로젝트를 개선하거나 손쉽게 새로운 기능을 개발할 수 있도록 도와주는 책이다. RxKotlin에서 자신만의"
81,Hello Coding 프로그래밍 Hello Coding 시리즈 ,Pope Kim,한빛미디어,"이 책은 특정 프로그래밍 언어의 입문서가 아닙니다. 프로그래밍의 기초 개념은 특정 언어에 종속되지 않습니다. 오히려 데이터를 저장하는 법, 데이터의 값에 따라 프로그램의 행동을 바꾸는 법, 동일한 일을"
82,Visual C++ MFC 2017 윈도우 프로그래밍 예제로 배우는  IT HOLIC 117 ,이아리,북스홀릭퍼블리싱,『Visual C++ MFC 2017 윈도우 프로그래밍』에서는 Microsoft Visual Studio 2015와 Microsoft Visual Studio 2017 버전에서 모두 학습할 수 있도록 하였다. 예제를 통해 MFC를 학습할 수 있도록 구성하였으며
83,자바 기반의 마이크로서비스 이해와 아키텍처 구축하기,박성훈,제이펍,"마이크로서비스, 도메인 주도 설계, 데브옵스, 자바, 스프링부트, 스프링클라우드, 도커 등 각각의 주제에 관한 이론 및 기술적인 내용을 다루는 훌륭한 책들은 많습니다만, 이들 간의 관계를 설명하고 기획에서"
84,퀀트 전략 파이썬으로 세워라,박준규,비제이퍼블릭,최근 주식 투자 세계에는 퀀트 계량  투자가 유행이다. 투자자의 주관을 배제하며 데이터에 기반한 계량적 방법에 많은 투자자들이 매료된 것이다. 하지만 퀀트 투자를 위해서는 수 많은 금융 데이터를 다룰 수
85,Effective C++ 3판 ,스콧 마이어스,프로텍미디어,[Effective C++]은 C++ 프로그래밍과 설계 기술을 향상시켜 주는 55가지 명쾌한 테크닉을 모은 책이다.
86,완친파 웹크롤러 대마왕편,가치랩스 기술연구소,한국정보인재개발원,▶ 이 책은 웹크롤러를 다룬 이론서입니다.
87,파이썬으로 시작하는 코딩,브라이언 칼링,코딩타임,"코딩이 지루하고 어렵게만 느껴지는 사람들을 위한
세상에서 제일 재미있는 파이썬 입문서!

프로그래머들은 파이썬이 쉽다고 하지만, 막상 일반인이 파이썬을 접하면 어려움을 느끼고 포기하는 경우가"
88,바로 쓰는 파이썬,박진수,서울대학교출판문화원,서울대학교 경영대학은 프로그래밍 교육을 의무화하여 2018년부터 1학년 신입생의 필수 교양 과목으로 채택해서 교육하고 있다. 여기에는 학생들의 논리적 문제 해결 능력을 기른다는 포괄적 목적만 있는 것은
